9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.00	 0.80	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
2	 0.00	 0.10	 1	 0.886	 3	 65520	 29.34	 0.957	 -0.633	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150	 0.00	 0.70	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150 
3	 0.00	 0.20	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 0.00	 0.60	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
4	 0.00	 0.30	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 0.00	 0.50	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
5	 0.00	 0.40	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.00	 0.40	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
6	 0.00	 0.50	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.00	 0.30	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
7	 0.00	 0.60	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.00	 0.20	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
8	 0.00	 0.70	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.00	 0.10	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
9	 0.00	 0.80	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.00	 0.00	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
10	 0.10	 0.00	 1	 0.885	 3	 65520	 23.47	 0.957	 -0.633	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104	 0.10	 0.80	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104 
11	 0.10	 0.10	 1	 0.886	 3	 65520	 28.36	 0.957	 -0.633	 0.571	 0.144	 0.208	 0.121	 0.144	 0.141	 0.10	 0.70	 0.571	 0.144	 0.208	 0.121	 0.144	 0.141 
