9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.879	 3	 65520	 80.92	 0.957	 -0.633	 0.040	 0.086	 0.031	 0.084	 0.086	 0.787	 0.00	 0.80	 0.040	 0.086	 0.031	 0.084	 0.086	 0.787 
2	 0.00	 0.10	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.00	 0.70	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
3	 0.00	 0.20	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.00	 0.60	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
4	 0.00	 0.30	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.00	 0.50	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
5	 0.00	 0.40	 1	 0.880	 3	 65520	 68.90	 0.957	 -0.633	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675	 0.00	 0.40	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675 
6	 0.00	 0.50	 1	 0.880	 3	 65520	 72.91	 0.957	 -0.633	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721	 0.00	 0.30	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721 
7	 0.00	 0.60	 1	 0.879	 3	 65520	 76.92	 0.957	 -0.633	 0.051	 0.095	 0.047	 0.119	 0.095	 0.759	 0.00	 0.20	 0.051	 0.095	 0.047	 0.119	 0.095	 0.759 
8	 0.00	 0.70	 1	 0.879	 3	 65520	 80.92	 0.957	 -0.633	 0.040	 0.086	 0.031	 0.084	 0.086	 0.787	 0.00	 0.10	 0.040	 0.086	 0.031	 0.084	 0.086	 0.787 
9	 0.00	 0.80	 1	 0.879	 3	 65520	 85.93	 0.957	 -0.633	 0.032	 0.080	 0.013	 0.035	 0.080	 0.808	 0.00	 0.00	 0.032	 0.080	 0.013	 0.035	 0.080	 0.808 
10	 0.10	 0.00	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.10	 0.80	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
11	 0.10	 0.10	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.10	 0.70	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
12	 0.10	 0.20	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.10	 0.60	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
13	 0.10	 0.30	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.10	 0.50	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
14	 0.10	 0.40	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.10	 0.40	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
15	 0.10	 0.50	 1	 0.880	 3	 65520	 70.91	 0.957	 -0.633	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699	 0.10	 0.30	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699 
16	 0.10	 0.60	 1	 0.880	 3	 65520	 75.91	 0.957	 -0.633	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750	 0.10	 0.20	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750 
17	 0.10	 0.70	 1	 0.879	 3	 65520	 79.92	 0.957	 -0.633	 0.042	 0.088	 0.035	 0.093	 0.088	 0.781	 0.10	 0.10	 0.042	 0.088	 0.035	 0.093	 0.088	 0.781 
18	 0.10	 0.80	 1	 0.879	 3	 65520	 83.93	 0.957	 -0.633	 0.035	 0.082	 0.020	 0.055	 0.082	 0.802	 0.10	 0.00	 0.035	 0.082	 0.020	 0.055	 0.082	 0.802 
19	 0.20	 0.00	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.20	 0.80	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
20	 0.20	 0.10	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.20	 0.70	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
21	 0.20	 0.20	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.20	 0.60	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
22	 0.20	 0.30	 1	 0.882	 3	 65520	 60.91	 0.957	 -0.633	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567	 0.20	 0.50	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567 
23	 0.20	 0.40	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.20	 0.40	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
24	 0.20	 0.50	 1	 0.880	 3	 65520	 69.90	 0.957	 -0.633	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687	 0.20	 0.30	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687 
25	 0.20	 0.60	 1	 0.880	 3	 65520	 73.91	 0.957	 -0.633	 0.062	 0.103	 0.060	 0.142	 0.103	 0.731	 0.20	 0.20	 0.062	 0.103	 0.060	 0.142	 0.103	 0.731 
26	 0.20	 0.70	 1	 0.879	 3	 65520	 77.92	 0.957	 -0.633	 0.048	 0.093	 0.043	 0.110	 0.093	 0.767	 0.20	 0.10	 0.048	 0.093	 0.043	 0.110	 0.093	 0.767 
27	 0.20	 0.80	 1	 0.879	 3	 65520	 82.93	 0.957	 -0.633	 0.036	 0.083	 0.024	 0.065	 0.083	 0.798	 0.20	 0.00	 0.036	 0.083	 0.024	 0.065	 0.083	 0.798 
28	 0.30	 0.00	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.30	 0.80	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
29	 0.30	 0.10	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.30	 0.70	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
30	 0.30	 0.20	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.30	 0.60	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
31	 0.30	 0.30	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.30	 0.50	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
32	 0.30	 0.40	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.30	 0.40	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
33	 0.30	 0.50	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.30	 0.30	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
34	 0.30	 0.60	 1	 0.880	 3	 65520	 72.91	 0.957	 -0.633	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721	 0.30	 0.20	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721 
35	 0.30	 0.70	 1	 0.879	 3	 65520	 76.92	 0.957	 -0.633	 0.051	 0.095	 0.047	 0.119	 0.095	 0.759	 0.30	 0.10	 0.051	 0.095	 0.047	 0.119	 0.095	 0.759 
36	 0.30	 0.80	 1	 0.879	 3	 65520	 80.92	 0.957	 -0.633	 0.040	 0.086	 0.031	 0.084	 0.086	 0.787	 0.30	 0.00	 0.040	 0.086	 0.031	 0.084	 0.086	 0.787 
37	 0.40	 0.00	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.40	 0.80	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
38	 0.40	 0.10	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.40	 0.70	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
39	 0.40	 0.20	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.40	 0.60	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
40	 0.40	 0.30	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.40	 0.50	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
41	 0.40	 0.40	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.40	 0.40	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
42	 0.40	 0.50	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.40	 0.30	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
43	 0.40	 0.60	 1	 0.880	 3	 65520	 70.91	 0.957	 -0.633	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699	 0.40	 0.20	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699 
44	 0.40	 0.70	 1	 0.880	 3	 65520	 74.91	 0.957	 -0.633	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741	 0.40	 0.10	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741 
45	 0.40	 0.80	 1	 0.879	 3	 65520	 79.92	 0.957	 -0.633	 0.042	 0.088	 0.035	 0.093	 0.088	 0.781	 0.40	 0.00	 0.042	 0.088	 0.035	 0.093	 0.088	 0.781 
46	 0.50	 0.00	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.50	 0.80	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
47	 0.50	 0.10	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.50	 0.70	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
