9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.880	 3	 65520	 74.91	 0.957	 -0.633	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741	 0.00	 0.80	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741 
2	 0.00	 0.10	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.00	 0.70	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
3	 0.00	 0.20	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.00	 0.60	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
4	 0.00	 0.30	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.00	 0.50	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
5	 0.00	 0.40	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.00	 0.40	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
6	 0.00	 0.50	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.00	 0.30	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
7	 0.00	 0.60	 1	 0.880	 3	 65520	 69.90	 0.957	 -0.633	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687	 0.00	 0.20	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687 
8	 0.00	 0.70	 1	 0.880	 3	 65520	 74.91	 0.957	 -0.633	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741	 0.00	 0.10	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741 
9	 0.00	 0.80	 1	 0.879	 3	 65520	 78.92	 0.957	 -0.633	 0.045	 0.090	 0.039	 0.102	 0.090	 0.774	 0.00	 0.00	 0.045	 0.090	 0.039	 0.102	 0.090	 0.774 
10	 0.10	 0.00	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.10	 0.80	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
11	 0.10	 0.10	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.10	 0.70	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
12	 0.10	 0.20	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.10	 0.60	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
13	 0.10	 0.30	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.10	 0.50	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
14	 0.10	 0.40	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.10	 0.40	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
15	 0.10	 0.50	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.10	 0.30	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
16	 0.10	 0.60	 1	 0.880	 3	 65520	 68.90	 0.957	 -0.633	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675	 0.10	 0.20	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675 
17	 0.10	 0.70	 1	 0.880	 3	 65520	 72.91	 0.957	 -0.633	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721	 0.10	 0.10	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721 
18	 0.10	 0.80	 1	 0.879	 3	 65520	 76.92	 0.957	 -0.633	 0.051	 0.095	 0.047	 0.119	 0.095	 0.759	 0.10	 0.00	 0.051	 0.095	 0.047	 0.119	 0.095	 0.759 
19	 0.20	 0.00	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.20	 0.80	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
20	 0.20	 0.10	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.20	 0.70	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
21	 0.20	 0.20	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.20	 0.60	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
22	 0.20	 0.30	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.20	 0.50	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
23	 0.20	 0.40	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.20	 0.40	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
24	 0.20	 0.50	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.20	 0.30	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
25	 0.20	 0.60	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.20	 0.20	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
26	 0.20	 0.70	 1	 0.880	 3	 65520	 71.91	 0.957	 -0.633	 0.071	 0.109	 0.069	 0.157	 0.109	 0.710	 0.20	 0.10	 0.071	 0.109	 0.069	 0.157	 0.109	 0.710 
27	 0.20	 0.80	 1	 0.880	 3	 65520	 75.91	 0.957	 -0.633	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750	 0.20	 0.00	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750 
28	 0.30	 0.00	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.30	 0.80	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
29	 0.30	 0.10	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.30	 0.70	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
30	 0.30	 0.20	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.30	 0.60	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
31	 0.30	 0.30	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.30	 0.50	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
32	 0.30	 0.40	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.30	 0.40	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
33	 0.30	 0.50	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.30	 0.30	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
34	 0.30	 0.60	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.30	 0.20	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
35	 0.30	 0.70	 1	 0.880	 3	 65520	 69.90	 0.957	 -0.633	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687	 0.30	 0.10	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687 
36	 0.30	 0.80	 1	 0.880	 3	 65520	 74.91	 0.957	 -0.633	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741	 0.30	 0.00	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741 
37	 0.40	 0.00	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.40	 0.80	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
38	 0.40	 0.10	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.40	 0.70	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
39	 0.40	 0.20	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.40	 0.60	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
40	 0.40	 0.30	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.40	 0.50	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
41	 0.40	 0.40	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.40	 0.40	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
42	 0.40	 0.50	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.40	 0.30	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
43	 0.40	 0.60	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.40	 0.20	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
44	 0.40	 0.70	 1	 0.880	 3	 65520	 68.90	 0.957	 -0.633	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675	 0.40	 0.10	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675 
45	 0.40	 0.80	 1	 0.880	 3	 65520	 72.91	 0.957	 -0.633	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721	 0.40	 0.00	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721 
46	 0.50	 0.00	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.50	 0.80	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
47	 0.50	 0.10	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.50	 0.70	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
48	 0.50	 0.20	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.50	 0.60	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
49	 0.50	 0.30	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.50	 0.50	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
50	 0.50	 0.40	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.50	 0.40	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
51	 0.50	 0.50	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.50	 0.30	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
52	 0.50	 0.60	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.50	 0.20	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
53	 0.50	 0.70	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.50	 0.10	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
