9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.880	 3	 65520	 70.91	 0.957	 -0.633	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699	 0.00	 0.80	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699 
2	 0.00	 0.10	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.00	 0.70	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
3	 0.00	 0.20	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.00	 0.60	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
4	 0.00	 0.30	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.00	 0.50	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
5	 0.00	 0.40	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.00	 0.40	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
6	 0.00	 0.50	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.00	 0.30	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
7	 0.00	 0.60	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.00	 0.20	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
8	 0.00	 0.70	 1	 0.880	 3	 65520	 70.91	 0.957	 -0.633	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699	 0.00	 0.10	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699 
9	 0.00	 0.80	 1	 0.880	 3	 65520	 75.91	 0.957	 -0.633	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750	 0.00	 0.00	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750 
10	 0.10	 0.00	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.10	 0.80	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
11	 0.10	 0.10	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.10	 0.70	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
12	 0.10	 0.20	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.10	 0.60	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
13	 0.10	 0.30	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.10	 0.50	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
14	 0.10	 0.40	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.10	 0.40	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
15	 0.10	 0.50	 1	 0.882	 3	 65520	 60.91	 0.957	 -0.633	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567	 0.10	 0.30	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567 
16	 0.10	 0.60	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.10	 0.20	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
17	 0.10	 0.70	 1	 0.880	 3	 65520	 69.90	 0.957	 -0.633	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687	 0.10	 0.10	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687 
18	 0.10	 0.80	 1	 0.880	 3	 65520	 73.91	 0.957	 -0.633	 0.062	 0.103	 0.060	 0.142	 0.103	 0.731	 0.10	 0.00	 0.062	 0.103	 0.060	 0.142	 0.103	 0.731 
19	 0.20	 0.00	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 0.20	 0.80	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
20	 0.20	 0.10	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.20	 0.70	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
21	 0.20	 0.20	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.20	 0.60	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
22	 0.20	 0.30	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.20	 0.50	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
23	 0.20	 0.40	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.20	 0.40	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
24	 0.20	 0.50	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.20	 0.30	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
25	 0.20	 0.60	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.20	 0.20	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
26	 0.20	 0.70	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.20	 0.10	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
27	 0.20	 0.80	 1	 0.880	 3	 65520	 72.91	 0.957	 -0.633	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721	 0.20	 0.00	 0.067	 0.106	 0.064	 0.150	 0.106	 0.721 
28	 0.30	 0.00	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.30	 0.80	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
29	 0.30	 0.10	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.30	 0.70	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
30	 0.30	 0.20	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.30	 0.60	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
31	 0.30	 0.30	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.30	 0.50	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
32	 0.30	 0.40	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.30	 0.40	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
33	 0.30	 0.50	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.30	 0.30	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
34	 0.30	 0.60	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.30	 0.20	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
35	 0.30	 0.70	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.30	 0.10	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
36	 0.30	 0.80	 1	 0.880	 3	 65520	 70.91	 0.957	 -0.633	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699	 0.30	 0.00	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699 
37	 0.40	 0.00	 1	 0.886	 3	 65520	 35.21	 0.957	 -0.633	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209	 0.40	 0.80	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209 
38	 0.40	 0.10	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.40	 0.70	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
39	 0.40	 0.20	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.40	 0.60	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
40	 0.40	 0.30	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.40	 0.50	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
41	 0.40	 0.40	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.40	 0.40	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
42	 0.40	 0.50	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.40	 0.30	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
43	 0.40	 0.60	 1	 0.882	 3	 65520	 60.91	 0.957	 -0.633	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567	 0.40	 0.20	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567 
44	 0.40	 0.70	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.40	 0.10	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
45	 0.40	 0.80	 1	 0.880	 3	 65520	 69.90	 0.957	 -0.633	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687	 0.40	 0.00	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687 
46	 0.50	 0.00	 1	 0.886	 3	 65520	 34.23	 0.957	 -0.633	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198	 0.50	 0.80	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198 
47	 0.50	 0.10	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 0.50	 0.70	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
48	 0.50	 0.20	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.50	 0.60	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
49	 0.50	 0.30	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.50	 0.50	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
50	 0.50	 0.40	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.50	 0.40	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
51	 0.50	 0.50	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.50	 0.30	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
52	 0.50	 0.60	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.50	 0.20	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
53	 0.50	 0.70	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.50	 0.10	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
54	 0.50	 0.80	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.50	 0.00	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
55	 0.60	 0.00	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 0.60	 0.80	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
56	 0.60	 0.10	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.60	 0.70	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
57	 0.60	 0.20	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.60	 0.60	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
58	 0.60	 0.30	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.60	 0.50	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
59	 0.60	 0.40	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.60	 0.40	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
60	 0.60	 0.50	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.60	 0.30	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
61	 0.60	 0.60	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.60	 0.20	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
62	 0.60	 0.70	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.60	 0.10	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
63	 0.60	 0.80	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.60	 0.00	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
64	 0.70	 0.00	 1	 0.886	 3	 65520	 31.29	 0.957	 -0.633	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168	 0.70	 0.80	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168 
