9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.879	 3	 65520	 84.93	 0.957	 -0.633	 0.033	 0.081	 0.016	 0.045	 0.081	 0.805	 0.00	 0.80	 0.033	 0.081	 0.016	 0.045	 0.081	 0.805 
2	 0.00	 0.10	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.00	 0.70	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
3	 0.00	 0.20	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.00	 0.60	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
4	 0.00	 0.30	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.00	 0.50	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
5	 0.00	 0.40	 1	 0.880	 3	 65520	 71.91	 0.957	 -0.633	 0.071	 0.109	 0.069	 0.157	 0.109	 0.710	 0.00	 0.40	 0.071	 0.109	 0.069	 0.157	 0.109	 0.710 
6	 0.00	 0.50	 1	 0.880	 3	 65520	 75.91	 0.957	 -0.633	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750	 0.00	 0.30	 0.054	 0.098	 0.051	 0.127	 0.098	 0.750 
7	 0.00	 0.60	 1	 0.879	 3	 65520	 79.92	 0.957	 -0.633	 0.042	 0.088	 0.035	 0.093	 0.088	 0.781	 0.00	 0.20	 0.042	 0.088	 0.035	 0.093	 0.088	 0.781 
8	 0.00	 0.70	 1	 0.879	 3	 65520	 84.93	 0.957	 -0.633	 0.033	 0.081	 0.016	 0.045	 0.081	 0.805	 0.00	 0.10	 0.033	 0.081	 0.016	 0.045	 0.081	 0.805 
9	 0.00	 0.80	 1	 0.879	 3	 65520	 87.93	 0.957	 -0.633	 0.031	 0.079	 0.005	 0.015	 0.079	 0.812	 0.00	 0.00	 0.031	 0.079	 0.005	 0.015	 0.079	 0.812 
10	 0.10	 0.00	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.10	 0.80	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
11	 0.10	 0.10	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.10	 0.70	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
12	 0.10	 0.20	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.10	 0.60	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
13	 0.10	 0.30	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.10	 0.50	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
14	 0.10	 0.40	 1	 0.880	 3	 65520	 69.90	 0.957	 -0.633	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687	 0.10	 0.40	 0.082	 0.116	 0.078	 0.169	 0.116	 0.687 
15	 0.10	 0.50	 1	 0.880	 3	 65520	 74.91	 0.957	 -0.633	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741	 0.10	 0.30	 0.058	 0.101	 0.056	 0.135	 0.101	 0.741 
16	 0.10	 0.60	 1	 0.879	 3	 65520	 78.92	 0.957	 -0.633	 0.045	 0.090	 0.039	 0.102	 0.090	 0.774	 0.10	 0.20	 0.045	 0.090	 0.039	 0.102	 0.090	 0.774 
