9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
1	0.00	0.00	1	0.879	3	65520	84.93	0.957	-0.633	       13081.598	7915.668	  7915.668	  101577.642	
2	0.00	0.10	1	0.882	3	65520	58.91	0.957	-0.633	       36222.343	39984.506	  39984.506	  78423.300	
3	0.00	0.20	1	0.881	3	65520	62.90	0.957	-0.633	       30912.744	36616.628	  36616.628	  83739.200	
4	0.00	0.30	1	0.880	3	65520	67.90	0.957	-0.633	       25006.087	31427.244	  31427.244	  89650.019	
5	0.00	0.40	1	0.880	3	65520	71.91	0.957	-0.633	       20978.490	26590.582	  26590.582	  93679.266	
6	0.00	0.50	1	0.880	3	65520	75.91	0.957	-0.633	       17657.594	21246.101	  21246.101	  97001.008	
7	0.00	0.60	1	0.879	3	65520	79.92	0.957	-0.633	       15108.427	15497.826	  15497.826	  99550.594	
8	0.00	0.70	1	0.879	3	65520	84.93	0.957	-0.633	       13081.598	7915.668	  7915.668	  101577.642	
9	0.00	0.80	1	0.879	3	65520	87.93	0.957	-0.633	       12508.503	3243.111	  3243.111	  102150.789	
10	0.10	0.00	1	0.883	3	65520	52.94	0.957	-0.633	       44913.133	43578.931	  43578.931	  69714.219	
11	0.10	0.10	1	0.882	3	65520	56.92	0.957	-0.633	       39036.399	41383.776	  41383.776	  75604.585	
12	0.10	0.20	1	0.881	3	65520	61.90	0.957	-0.633	       32196.148	37527.306	  37527.306	  82454.530	
13	0.10	0.30	1	0.881	3	65520	65.90	0.957	-0.633	       27260.714	33625.287	  33625.287	  87394.092	
14	0.10	0.40	1	0.880	3	65520	69.90	0.957	-0.633	       22908.573	29078.528	  29078.528	  91748.485	
15	0.10	0.50	1	0.880	3	65520	74.91	0.957	-0.633	       18417.760	22624.291	  22624.291	  96240.685	
16	0.10	0.60	1	0.879	3	65520	78.92	0.957	-0.633	       15670.375	16966.746	  16966.746	  98988.568	
17	0.10	0.70	1	0.879	3	65520	82.93	0.957	-0.633	       13733.570	10988.700	  10988.700	  100925.608	
18	0.10	0.80	1	0.879	3	65520	86.93	0.957	-0.633	       12645.171	4806.509	  4806.509	  102014.103	
19	0.20	0.00	1	0.883	3	65520	51.95	0.957	-0.633	       46423.459	43998.023	  43998.023	  68199.364	
20	0.20	0.10	1	0.882	3	65520	55.92	0.957	-0.633	       40477.210	42009.108	  42009.108	  74160.963	
21	0.20	0.20	1	0.882	3	65520	59.91	0.957	-0.633	       34852.595	39212.271	  39212.271	  79794.960	
