9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
1	0.00	0.00	1	0.879	3	65520	77.92	0.957	-0.633	       16283.059	18415.604	  18415.604	  98375.787	
2	0.00	0.10	1	0.883	3	65520	51.95	0.957	-0.633	       46423.459	43998.023	  43998.023	  68199.364	
3	0.00	0.20	1	0.882	3	65520	56.92	0.957	-0.633	       39036.399	41383.776	  41383.776	  75604.585	
4	0.00	0.30	1	0.882	3	65520	60.91	0.957	-0.633	       33509.972	38392.871	  38392.871	  81139.249	
5	0.00	0.40	1	0.881	3	65520	64.90	0.957	-0.633	       28443.499	34664.430	  34664.430	  86210.487	
6	0.00	0.50	1	0.880	3	65520	68.90	0.957	-0.633	       23937.029	30271.022	  30271.022	  90719.592	
7	0.00	0.60	1	0.880	3	65520	73.91	0.957	-0.633	       19225.299	23975.526	  23975.526	  95432.955	
8	0.00	0.70	1	0.879	3	65520	77.92	0.957	-0.633	       16283.059	18415.604	  18415.604	  98375.787	
9	0.00	0.80	1	0.879	3	65520	81.93	0.957	-0.633	       14139.430	12506.981	  12506.981	  100519.704	
10	0.10	0.00	1	0.884	3	65520	47.00	0.957	-0.633	       54127.256	45290.612	  45290.612	  60463.872	
11	0.10	0.10	1	0.883	3	65520	50.96	0.957	-0.633	       47946.487	44364.119	  44364.119	  66671.266	
12	0.10	0.20	1	0.883	3	65520	54.93	0.957	-0.633	       41938.152	42583.867	  42583.867	  72696.836	
13	0.10	0.30	1	0.882	3	65520	58.91	0.957	-0.633	       36222.343	39984.506	  39984.506	  78423.300	
14	0.10	0.40	1	0.881	3	65520	63.90	0.957	-0.633	       29661.340	35661.949	  35661.949	  84991.695	
15	0.10	0.50	1	0.880	3	65520	67.90	0.957	-0.633	       25006.087	31427.244	  31427.244	  89650.019	
16	0.10	0.60	1	0.880	3	65520	71.91	0.957	-0.633	       20978.490	26590.582	  26590.582	  93679.266	
17	0.10	0.70	1	0.879	3	65520	76.92	0.957	-0.633	       16945.735	19842.635	  19842.635	  97712.998	
18	0.10	0.80	1	0.879	3	65520	80.92	0.957	-0.633	       14597.902	14010.634	  14010.634	  100061.180	
19	0.20	0.00	1	0.885	3	65520	45.03	0.957	-0.633	       57243.600	45427.402	  45427.402	  57329.673	
20	0.20	0.10	1	0.884	3	65520	48.98	0.957	-0.633	       51023.013	44935.608	  44935.608	  63582.802	
21	0.20	0.20	1	0.883	3	65520	53.93	0.957	-0.633	       43417.407	43107.354	  43107.354	  71213.986	
22	0.20	0.30	1	0.882	3	65520	57.91	0.957	-0.633	       37617.521	40708.635	  40708.635	  77025.941	
23	0.20	0.40	1	0.881	3	65520	61.90	0.957	-0.633	       32196.148	37527.306	  37527.306	  82454.530	
24	0.20	0.50	1	0.881	3	65520	65.90	0.957	-0.633	       27260.714	33625.287	  33625.287	  87394.092	
25	0.20	0.60	1	0.880	3	65520	70.91	0.957	-0.633	       21921.989	27851.216	  27851.216	  92735.444	
26	0.20	0.70	1	0.880	3	65520	74.91	0.957	-0.633	       18417.760	22624.291	  22624.291	  96240.685	
27	0.20	0.80	1	0.879	3	65520	78.92	0.957	-0.633	       15670.375	16966.746	  16966.746	  98988.568	
28	0.30	0.00	1	0.885	3	65520	44.04	0.957	-0.633	       58801.411	45413.716	  45413.716	  55761.618	
29	0.30	0.10	1	0.884	3	65520	47.99	0.957	-0.633	       52572.644	45140.303	  45140.303	  62026.198	
30	0.30	0.20	1	0.883	3	65520	51.95	0.957	-0.633	       46423.459	43998.023	  43998.023	  68199.364	
31	0.30	0.30	1	0.882	3	65520	55.92	0.957	-0.633	       40477.210	42009.108	  42009.108	  74160.963	
32	0.30	0.40	1	0.882	3	65520	60.91	0.957	-0.633	       33509.972	38392.871	  38392.871	  81139.249	
33	0.30	0.50	1	0.881	3	65520	64.90	0.957	-0.633	       28443.499	34664.430	  34664.430	  86210.487	
34	0.30	0.60	1	0.880	3	65520	68.90	0.957	-0.633	       23937.029	30271.022	  30271.022	  90719.592	
