9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.00	 0.80	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
2	 0.00	 0.10	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 0.00	 0.70	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
3	 0.00	 0.20	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.00	 0.60	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
4	 0.00	 0.30	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.00	 0.50	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
5	 0.00	 0.40	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.00	 0.40	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
6	 0.00	 0.50	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.00	 0.30	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
7	 0.00	 0.60	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.00	 0.20	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
8	 0.00	 0.70	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.00	 0.10	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
9	 0.00	 0.80	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.00	 0.00	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
10	 0.10	 0.00	 1	 0.886	 3	 65520	 27.38	 0.957	 -0.633	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133	 0.10	 0.80	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133 
