 3.00	  4.00	  5.00
 6.00	  7.00	  8.00
10.00	 12.00	 15.00
18.00	 22.00	 27.00
33.00	 40.00	 48.00
58.00	 70.00	 84.00
101.00	 121.00	 144.00
171.00	 203.00	 240.00
283.00	 334.00	 392.00
459.00	 537.00	 626.00
728.00	 845.00	 978.00
1129.00	 1300.00	 1494.00
1712.00	 1957.00	 2231.00
2538.00	 2879.00	 3258.00
3678.00	 4142.00	 4653.00
5213.00	 5827.00	 6496.00
7224.00	 8014.00	 8868.00
9788.00	 10777.00	 11836.00
12967.00	 14170.00	 15447.00
16796.00	 18218.00	 19710.00
21272.00	 22900.00	 24591.00
26341.00	 28145.00	 29998.00
31893.00	 33822.00	 35779.00
37755.00	 39740.00	 41726.00
43701.00	 45655.00	 47578.00
49458.00	 51283.00	 53044.00
54727.00	 56324.00	 57822.00
59211.00	 60483.00	 61628.00
62637.00	 63505.00	 64223.00
64788.00	 65194.00	 65439.00
65520.00	 65439.00	 65194.00
64788.00	 64223.00	 63505.00
62637.00	 61628.00	 60483.00
59211.00	 57822.00	 56324.00
54727.00	 53044.00	 51283.00
49458.00	 47578.00	 45655.00
43701.00	 41726.00	 39740.00
37755.00	 35779.00	 33822.00
31893.00	 29998.00	 28145.00
26341.00	 24591.00	 22900.00
21272.00	 19710.00	 18218.00
16796.00	 15447.00	 14170.00
12967.00	 11836.00	 10777.00
9788.00	 8868.00	 8014.00
7224.00	 6496.00	 5827.00
5213.00	 4653.00	 4142.00
3678.00	 3258.00	 2879.00
2538.00	 2231.00	 1957.00
1712.00	 1494.00	 1300.00
1129.00	 978.00	 845.00
728.00	 626.00	 537.00
459.00	 392.00	 334.00
283.00	 240.00	 203.00
171.00	 144.00	 121.00
101.00	 84.00	 70.00
58.00	 48.00	 40.00
33.00	 27.00	 22.00
18.00	 15.00	 12.00
10.00	  8.00	  7.00
 6.00	  5.00	  4.00
 3.00	  4.00	  5.00
 6.00	  7.00	  8.00
10.00	 12.00	 15.00
18.00	 22.00	 27.00
33.00	 40.00	 48.00
58.00	 70.00	 84.00
101.00	 121.00	 144.00
171.00	 203.00	 240.00
283.00	 334.00	 392.00
459.00	 537.00	 626.00
728.00	 845.00	 978.00
1129.00	 1300.00	 1494.00
1712.00	 1957.00	 2231.00
2538.00	 2879.00	 3258.00
3678.00	 4142.00	 4653.00
5213.00	 5827.00	 6496.00
7224.00	 8014.00	 8868.00
9788.00	 10777.00	 11836.00
12967.00	 14170.00	 15447.00
16796.00	 18218.00	 19710.00
21272.00	 22900.00	 24591.00
26341.00	 28145.00	 29998.00
31893.00	 33822.00	 35779.00
37755.00	 39740.00	 41726.00
43701.00	 45655.00	 47578.00
49458.00	 51283.00	 53044.00
54727.00	 56324.00	 57822.00
59211.00	 60483.00	 61628.00
62637.00	 63505.00	 64223.00
64788.00	 65194.00	 65439.00
65520.00	 65439.00	 65194.00
64788.00	 64223.00	 63505.00
62637.00	 61628.00	 60483.00
59211.00	 57822.00	 56324.00
54727.00	 53044.00	 51283.00
49458.00	 47578.00	 45655.00
43701.00	 41726.00	 39740.00
37755.00	 35779.00	 33822.00
31893.00	 29998.00	 28145.00
26341.00	 24591.00	 22900.00
21272.00	 19710.00	 18218.00
16796.00	 15447.00	 14170.00
12967.00	 11836.00	 10777.00
9788.00	 8868.00	 8014.00
7224.00	 6496.00	 5827.00
5213.00	 4653.00	 4142.00
3678.00	 3258.00	 2879.00
2538.00	 2231.00	 1957.00
1712.00	 1494.00	 1300.00
1129.00	 978.00	 845.00
728.00	 626.00	 537.00
459.00	 392.00	 334.00
283.00	 240.00	 203.00
171.00	 144.00	 121.00
101.00	 84.00	 70.00
58.00	 48.00	 40.00
33.00	 27.00	 22.00
18.00	 15.00	 12.00
10.00	  8.00	  7.00
 6.00	  5.00	  4.00
 3.00	  4.00	  5.00
 6.00	  7.00	  8.00
10.00	 12.00	 15.00
18.00	 22.00	 27.00
33.00	 40.00	 48.00
58.00	 70.00	 84.00
101.00	 121.00	 144.00
171.00	 203.00	 240.00
283.00	 334.00	 392.00
459.00	 537.00	 626.00
728.00	 845.00	 978.00
1129.00	 1300.00	 1494.00
1712.00	 1957.00	 2231.00
2538.00	 2879.00	 3258.00
3678.00	 4142.00	 4653.00
5213.00	 5827.00	 6496.00
7224.00	 8014.00	 8868.00
9788.00	 10777.00	 11836.00
12967.00	 14170.00	 15447.00
16796.00	 18218.00	 19710.00
21272.00	 22900.00	 24591.00
26341.00	 28145.00	 29998.00
31893.00	 33822.00	 35779.00
37755.00	 39740.00	 41726.00
43701.00	 45655.00	 47578.00
49458.00	 51283.00	 53044.00
54727.00	 56324.00	 57822.00
59211.00	 60483.00	 61628.00
62637.00	 63505.00	 64223.00
64788.00	 65194.00	 65439.00
65520.00	 65439.00	 65194.00
64788.00	 64223.00	 63505.00
62637.00	 61628.00	 60483.00
59211.00	 57822.00	 56324.00
54727.00	 53044.00	 51283.00
49458.00	 47578.00	 45655.00
43701.00	 41726.00	 39740.00
37755.00	 35779.00	 33822.00
31893.00	 29998.00	 28145.00
26341.00	 24591.00	 22900.00
21272.00	 19710.00	 18218.00
16796.00	 15447.00	 14170.00
12967.00	 11836.00	 10777.00
9788.00	 8868.00	 8014.00
7224.00	 6496.00	 5827.00
5213.00	 4653.00	 4142.00
3678.00	 3258.00	 2879.00
2538.00	 2231.00	 1957.00
1712.00	 1494.00	 1300.00
1129.00	 978.00	 845.00
728.00	 626.00	 537.00
459.00	 392.00	 334.00
283.00	 240.00	 203.00
171.00	 144.00	 121.00
101.00	 84.00	 70.00
58.00	 48.00	 40.00
33.00	 27.00	 22.00
18.00	 15.00	 12.00
10.00	  8.00	  7.00
 6.00	  5.00	  4.00
